시술명,판매가,시술소요시간(분),총소요시간(분),시술소모품비(원),임대료(원),급여(원),보험료(원),리스료(원),고정비합계,마진,마진율
울쎄라 300샷,"₩900,000",20,60,"₩500,000"," ₩ 180,843 "," ₩ 64,450 "," ₩ 2,864 "," ₩ 34,446 "," ₩ 782,604 "," ₩ 117,396 ",13%
"쿨소닉 7,000샷","₩1,400,000",15,55,"₩210,000"," ₩ 165,773 "," ₩ 48,338 "," ₩ 2,148 "," ₩ 31,576 "," ₩ 457,835 "," ₩ 942,165 ",67%
"쿨소닉 11,000샷","₩2,200,000",22,62,"₩330,000"," ₩ 186,871 "," ₩ 70,895 "," ₩ 3,151 "," ₩ 35,595 "," ₩ 626,512 "," ₩ 1,573,488 ",72%
"쿨소닉 15,000샷","₩3,000,000",29,69,"₩450,000"," ₩ 207,970 "," ₩ 93,453 "," ₩ 4,153 "," ₩ 39,613 "," ₩ 795,189 "," ₩ 2,204,811 ",73%
울쎄라 400샷,"₩1,600,000",25,65,"₩666,666"," ₩ 195,913 "," ₩ 80,563 "," ₩ 3,581 "," ₩ 37,317 "," ₩ 984,040 "," ₩ 615,960 ",38%
울쎄라 500샷,"₩2,000,000",30,70,"₩833,333"," ₩ 210,984 "," ₩ 96,675 "," ₩ 4,297 "," ₩ 40,187 "," ₩ 1,185,476 "," ₩ 814,524 ",41%
울쎄라 600샷,"₩2,400,000",35,75,"₩1,000,000"," ₩ 226,054 "," ₩ 112,788 "," ₩ 5,013 "," ₩ 43,058 "," ₩ 1,386,913 "," ₩ 1,013,087 ",42%
쿨페이즈 300샷,"₩1,100,000",20,60,"₩150,000"," ₩ 180,843 "," ₩ 64,450 "," ₩ 2,864 "," ₩ 34,446 "," ₩ 432,604 "," ₩ 667,396 ",61%
쿨페이즈 600샷,"₩900,000",30,60,"₩300,000"," ₩ 180,843 "," ₩ 96,675 "," ₩ 4,297 "," ₩ 34,446 "," ₩ 616,262 "," ₩ 283,738 ",32%
리프테라 LINE 300샷,"₩450,000",17,57,"₩21,250"," ₩ 171,801 "," ₩ 54,783 "," ₩ 2,435 "," ₩ 32,724 "," ₩ 282,993 "," ₩ 167,007 ",37%
리프테라 LINE 400샷,"₩600,000",21,61,"₩28,333"," ₩ 183,857 "," ₩ 67,673 "," ₩ 3,008 "," ₩ 35,020 "," ₩ 317,891 "," ₩ 282,109 ",47%
리프테라 LINE 500샷,"₩750,000",25,65,"₩35,416"," ₩ 195,913 "," ₩ 80,563 "," ₩ 3,581 "," ₩ 37,317 "," ₩ 352,790 "," ₩ 397,210 ",53%
리프테라 LINE 600샷,"₩900,000",29,69,"₩42,500"," ₩ 207,970 "," ₩ 93,453 "," ₩ 4,153 "," ₩ 39,613 "," ₩ 387,689 "," ₩ 512,311 ",57%
실리프팅 민트 8줄,"₩1,000,000",22,72,"₩96,800"," ₩ 217,012 "," ₩ 70,895 "," ₩ 3,151 "," ₩ 41,336 "," ₩ 429,194 "," ₩ 570,806 ",57%
실리프팅 민트 12줄,"₩1,400,000",26,76,"₩140,800"," ₩ 229,068 "," ₩ 83,785 "," ₩ 3,724 "," ₩ 43,632 "," ₩ 501,009 "," ₩ 898,991 ",64%
실리프팅 민트 16줄,"₩1,800,000",30,80,"₩193,600"," ₩ 241,124 "," ₩ 96,675 "," ₩ 4,297 "," ₩ 45,928 "," ₩ 581,625 "," ₩ 1,218,375 ",68%
실리프팅 민트 20줄+,"₩2,000,000",35,85,"₩261,800"," ₩ 256,194 "," ₩ 112,788 "," ₩ 5,013 "," ₩ 48,799 "," ₩ 684,594 "," ₩ 1,315,406 ",66%
실리프팅 민트 30줄+,"₩2,800,000",45,95,"₩382,800"," ₩ 286,335 "," ₩ 145,013 "," ₩ 6,445 "," ₩ 54,540 "," ₩ 875,133 "," ₩ 1,924,867 ",69%
지방흡입 5홀,"₩2,500,000",45,55,₩0," ₩ 165,773 "," ₩ 145,013 "," ₩ 6,445 "," ₩ 31,576 "," ₩ 348,807 "," ₩ 2,151,193 ",86%
리쥬란힐러 2cc,"₩300,000",4,64,"₩104,033"," ₩ 192,899 "," ₩ 12,890 ", ₩ 573 ," ₩ 36,743 "," ₩ 347,138 ","-₩ 47,138 ",-16%
리쥬란힐러 4cc,"₩500,000",8,68,"₩208,066"," ₩ 204,956 "," ₩ 25,780 "," ₩ 1,146 "," ₩ 39,039 "," ₩ 478,987 "," ₩ 21,013 ",4%
리쥬란힐러 6cc,"₩700,000",12,70,"₩312,099"," ₩ 210,984 "," ₩ 38,670 "," ₩ 1,719 "," ₩ 40,187 "," ₩ 603,659 "," ₩ 96,341 ",14%
아이리쥬란 1cc,"₩180,000",2,62,"₩58,258"," ₩ 186,871 "," ₩ 6,445 ", ₩ 286 ," ₩ 35,595 "," ₩ 287,455 ","-₩ 107,455 ",-60%
아이리쥬란 2cc,"₩340,000",4,64,"₩116,516"," ₩ 192,899 "," ₩ 12,890 ", ₩ 573 ," ₩ 36,743 "," ₩ 359,621 ","-₩ 19,621 ",-6%
리쥬란HB 4cc,"₩500,000",8,40,"₩229,192"," ₩ 120,562 "," ₩ 25,780 "," ₩ 1,146 "," ₩ 22,964 "," ₩ 399,644 "," ₩ 100,356 ",20%
레디어스,"₩800,000",20,60,"₩230,000"," ₩ 180,843 "," ₩ 64,450 "," ₩ 2,864 "," ₩ 34,446 "," ₩ 512,604 "," ₩ 287,396 ",36%
쥬베룩 볼륨,"₩600,000",20,60,"₩154,000"," ₩ 180,843 "," ₩ 64,450 "," ₩ 2,864 "," ₩ 34,446 "," ₩ 436,604 "," ₩ 163,396 ",27%
벨로테로 리바이브1cc,"₩500,000",2,62,"₩145,000"," ₩ 186,871 "," ₩ 6,445 ", ₩ 286 ," ₩ 35,595 "," ₩ 374,197 "," ₩ 125,803 ",25%
벨로테로 리바이브2cc,"₩800,000",4,64,"₩290,000"," ₩ 192,899 "," ₩ 12,890 ", ₩ 573 ," ₩ 36,743 "," ₩ 533,105 "," ₩ 266,895 ",33%
힐로웨이브 2cc,"₩400,000",5,65,"₩57,000"," ₩ 195,913 "," ₩ 16,113 ", ₩ 716 ," ₩ 37,317 "," ₩ 307,059 "," ₩ 92,941 ",23%
힐로웨이브 4cc,"₩700,000",10,70,"₩114,000"," ₩ 210,984 "," ₩ 32,225 "," ₩ 1,432 "," ₩ 40,187 "," ₩ 398,828 "," ₩ 301,172 ",43%
뉴라미스1cc,"₩200,000",20,50,"₩14,000"," ₩ 150,703 "," ₩ 64,450 "," ₩ 2,864 "," ₩ 28,705 "," ₩ 260,723 ","-₩ 60,723 ",-30%
레스틸린1cc,"₩400,000",20,50,"₩143,000"," ₩ 150,703 "," ₩ 64,450 "," ₩ 2,864 "," ₩ 28,705 "," ₩ 389,723 "," ₩ 10,277 ",3%
히알라제1cc,"₩150,000",2,2,," ₩ 6,028 "," ₩ 6,445 ", ₩ 286 ," ₩ 1,148 "," ₩ 13,908 "," ₩ 136,092 ",91%
